MaterialName,A,B,C,D,Vendor,DatasheetUrl
OD 40,0.01,3.874697532582473e-08,2.22493485409225,0.0,Micrometals,
OD 60,0.01,2.1114660357357534e-08,2.501,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/e8/6a/e86ad10e-1ffb-4f85-99fd-7213233ad928/od-060-datasheet.pdf
OD 90,0.01,4.343004096824256e-07,2.12409454701364,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/db/eb/dbeb1a7a-8602-42f2-996a-271150da7223/od-090-datasheet.pdf
OE 26,0.01,3.080767991298716e-07,1.7536260096785,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/44/f5/44f5ae46-b3a9-47ca-9df8-eb46c417b0b4/oe-026-datasheet.pdf
OE 40,0.01,1.61937381652493e-07,2.06224491650882,0.0,Micrometals,
OE 60,0.01,1.0759085235018696e-07,2.3079068032645402,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/a3/aa/a3aaf181-0ac7-454a-bf2c-0161f42b65e5/oe-060-datasheet.pdf
OE 75,0.01,1.3056802329089899e-05,1.50817530061983,0.0,Micrometals,
OE 90,0.01,3.156441266414024e-06,1.85823133075277,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/e0/78/e078f563-8468-4675-a931-fab19459365a/oe-090-datasheet.pdf
SM 26,0.01,6.874485188577336e-08,2.01924064032321,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/b4/d1/b4d1a328-d7fc-4bf9-8cbf-14d493b63225/sm-026-datasheet.pdf
SM 60,0.01,9.057994804630904e-07,1.903428045818949,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/de/8b/de8bc0b5-617c-449f-bdc4-109bbae7800a/sm-060-datasheet.pdf
XFlux 125,0.01,2.841190000003331e-06,1.956,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFLUX-Cores/XFLUX-Material-Curves
XFlux 19,0.01,4.975733547980588e-09,2.235518590379107,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFLUX-Cores/XFLUX-Material-Curves
XFlux 26,0.01,6.30419882821459e-10,2.7138308977134473,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFLUX-Cores/XFLUX-Material-Curves
XFlux 40,0.01,1.843446682077158e-08,2.358499169678752,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFLUX-Cores/XFLUX-Material-Curves
XFlux 60,0.01,1.4887928186564399e-08,2.612552871704276,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFLUX-Cores/XFLUX-Material-Curves
XFlux 75,0.01,2.2692938993729584e-08,2.649401393277942,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFLUX-Cores/XFLUX-Material-Curves
XFlux 90,0.01,9.841444097536376e-08,2.477225251693333,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFLUX-Cores/XFLUX-Material-Curves
XFlux Ultra 26,0.01,2.6987935484104006e-09,2.454083767038844,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFlux-Ultra-Cores/XFLUX-Ultra-Material-Curves
XFlux Ultra 60,0.01,4.4826134394471105e-09,2.814945287884365,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/XFlux-Ultra-Cores/XFLUX-Ultra-Material-Curves
